Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Net Zero 2050,GCAM 6.0 NGFS|India,Price|Carbon|Supply,US$2010/t CO2,0,0,125.975175,194.3443346,301.516461,556.9474482,816.7363637,1181.407437,1713.404598,1514.608488,1490.489188,1549.596768,1630.128107,1714.988022,1782.8189,1884.966365,1908.747234
GCAM 6.0 NGFS,Below 2°C,GCAM 6.0 NGFS|India,GDP|MER|Counterfactual without damage,billion US$2010/yr,2751.140829,3931.994274,5023.923978,5920.409126,7012.825163,8533.806584,9924.305078,11415.48018,13005.81655,14594.37416,16205.04765,17598.74558,19780.96111,22089.10832,24273.29255,26582.66733,28830.11511
GCAM 6.0 NGFS,Below 2°C,GCAM 6.0 NGFS|India,GDP|PPP|Counterfactual without damage,billion US$2010/yr,6569.604755,9389.483875,11996.96321,14137.78664,16746.46088,20378.48417,23698.97461,27259.70077,31057.34847,34850.7708,38697.17347,42025.12778,47236.2982,52748.11886,57963.68067,63478.7057,68845.5858
GCAM 6.0 NGFS,Below 2°C,GCAM 6.0 NGFS|India,Policy Cost|GDP Loss,billion US$2010/yr,0,0,70.62155398,-517.4738068,-940.933109,-644.2278247,-962.2830486,-1444.297605,-1891.623164,-2545.332896,-3348.163719,-4669.458642,-4208.822577,-3346.098413,-2779.743164,-1813.101564,-893.3302536
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS|India,GDP|MER|Counterfactual without damage,billion US$2010/yr,2751.140829,3931.994274,4994.350051,6137.109005,7406.85465,8803.586986,10327.2757,12020.30526,13797.96736,15660.27714,17607.14366,19554.16176,21543.47339,23490.33991,25437.35802,27341.93101,29204.21047
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS|India,GDP|PPP|Counterfactual without damage,billion US$2010/yr,6569.604755,9389.483875,11926.34166,14655.26045,17687.39399,21022.71199,24661.25766,28703.99838,32948.97163,37396.1037,42045.33719,46694.58642,51445.12078,56094.21727,60743.42383,65291.80726,69738.91605
GCAM 6.0 NGFS,Current Policies,GCAM 6.0 NGFS|India,Policy Cost|GDP Loss,billion US$2010/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCAM 6.0 NGFS,Delayed transition,GCAM 6.0 NGFS|India,GDP|MER|Counterfactual without damage,billion US$2010/yr,2751.140829,3931.994274,4994.350051,6159.141582,7206.047164,8401.5334,9724.743308,11101.75371,12418.17062,14094.24943,15846.42929,17598.74558,19526.66508,21878.05709,24139.86022,26381.24716,28559.82963
GCAM 6.0 NGFS,Delayed transition,GCAM 6.0 NGFS|India,GDP|PPP|Counterfactual without damage,billion US$2010/yr,6569.604755,9389.483875,11926.34166,14707.87369,17207.87046,20062.61961,23222.42645,26510.53477,29654.07447,33656.49333,37840.80347,42025.12778,46629.04748,52244.13494,57645.04943,62997.71966,68200.15091
GCAM 6.0 NGFS,Delayed transition,GCAM 6.0 NGFS|India,Policy Cost|GDP Loss,billion US$2010/yr,0,0,0,52.6132354,-479.5235347,-960.0923764,-1438.831209,-2193.463611,-3294.897163,-3739.61037,-4204.533719,-4669.458642,-4816.073304,-3850.082335,-3098.374402,-2294.087599,-1538.76514
